Designator,Footprint,Quantity,Value,LCSC Part #
C1,50ZLH1000MEFC16X25,1,50ZLH1000MEFC16X25,
C2,GCM188L81H104KA57,1,GCM188L81H104KA57,
"CTRL1, CTRL2, SWITCH1, THRU1",B2B-XH,4,02-JST,
"EDGE1, EDGE2, EDGE3, EDGE4",10046971-019LF,4,10046971-019LF-FEMAL,
EDGE5,7-5530843-6,1,7-5530843-6,
"H1, H2, H3, H4","3,2",4,MOUNT-HOLE3.2,
"IN+, IN-, OUT1+, OUT1-, OUT2+, OUT2-, OUT3+, OUT3-, OUT4+, OUT4-, THRU+, THRU-",AWG14,12,PADS14,
"IRLB-1, IRLB-2, IRLB-3, IRLB-4",TO-220AB-PUT,4,IRLB3813_2,
JP1,1X02,1,PINHD-1X2,
"LED1, LED2, LED3",LED5MM,3,LED5MM,
"P-1, P-2, P-3, P-4, P-5, P-6, P-7, P-8",P-SWITCH,8,P-SWITCH,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100,
"R2, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,680,
"R3, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1k,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
SV1,ML10,1,ML10,
TLP1,2227MC-08-03,1,2227MC-08-03,
