Designator,Mid X,Mid Y,Rotation,Layer
C1,106.5,-134.65,0.0,top
C2,194.3661,-130.2146,180.0,bottom
CTRL1,197.6001,-75.9536,90.0,top
CTRL2,197.6001,-84.1316,90.0,top
EDGE1,150.4611,-137.5036,180.0,top
EDGE2,150.4611,-114.8036,180.0,top
EDGE3,150.4611,-95.5036,180.0,top
EDGE4,150.4611,-73.2036,180.0,top
EDGE5,109.6041,-82.1836,90.0,top
H1,95.1511,-140.5036,0.0,top
H2,95.1511,-69.2336,0.0,top
H3,202.1511,-140.5036,0.0,top
H4,202.1511,-69.2336,0.0,top
IN+,98.5011,-109.5036,90.0,top
IN-,98.5011,-114.5036,90.0,bottom
IRLB-1,127.7124,-125.9336,270.0,bottom
IRLB-2,150.5898,-125.9336,270.0,top
IRLB-3,150.5898,-84.2666,270.0,top
IRLB-4,127.7124,-84.2666,270.0,bottom
JP1,187.1481,-130.2786,270.0,top
LED1,97.004,-100.6,0.0,top
LED2,104.05,-100.6,0.0,top
LED3,111.35,-100.6,0.0,top
OUT1+,198.5011,-124.9036,270.0,top
OUT1-,198.5011,-120.0036,270.0,bottom
OUT2+,198.5011,-115.0036,270.0,top
OUT2-,198.5011,-110.0036,270.0,bottom
OUT3+,198.5011,-105.0036,270.0,top
OUT3-,198.5011,-100.0036,270.0,bottom
OUT4+,198.5011,-95.0036,270.0,top
OUT4-,198.5011,-90.2036,270.0,bottom
P-1,173.3131,-130.5036,270.0,top
P-2,173.3131,-127.9636,270.0,top
P-3,173.3131,-125.4236,270.0,top
P-4,173.3131,-122.8836,270.0,top
P-5,173.3701,-88.5036,90.0,top
P-6,173.3701,-85.9636,90.0,top
P-7,173.3701,-83.4236,90.0,top
P-8,173.3701,-80.8836,90.0,top
R1,98.65,-95.55,0.0,top
R2,99.1,-105.6,180.0,top
R3,140.35,-104.1,180.0,top
R4,140.35,-107.1,0.0,top
R5,108.85,-105.6,0.0,top
R6,191.65,-139.9,0.0,top
SV1,98.5831,-83.3106,270.0,top
SWITCH1,190.9971,-76.0806,90.0,top
THRU+,98.5011,-119.5036,90.0,top
THRU-,98.5011,-124.5036,90.0,bottom
THRU1,190.9971,-84.1316,90.0,top
TLP1,194.2591,-132.5816,0.0,top
